standardized_id_num_2018,standardized_id_num_2020
0013686001001,0013686000001
1597498003001,0057498003002
0153712000001,0153712000001
,0175378001006
0210752000001,0210752001001
0210752000002,0210752002001
0210752000003,0210752003001
0210752000004,0210752004001
0211140000002,0211140000002
0215776000001,0215776001001
0215776000002,0215776002002
0215776000003,0215776003003
0215776000004,0215776004004
0250592000001,0250592003001
0250592000002,0250592004002
0250592000003,0250592005003
0250592000004,0250592001004
0250592000005,0250592005005
0250592000006,0250592004006
0250592000007,0250592002007
0250592000008,0250592004008
0250592000009,0250592004009
0250592000010,0250592001010
0250592000011,0250592005011
0250592000012,0250592002012
0250592000013,0250592004013
0250592000015,0250592003015
0250592000017,0250592003017
0250592000018,0250592002018
0250592000019,0250592003019
0250592000020,0250592005020
0250592000021,0250592002021
0250592000022,0250592001022
0250592000023,0250592001023
0376186000001,0376186000001
,0434096001003
,0434096002002
,0434096003002
,0454600003022
,0454600003023
,0476382001001
,0476382002001
,0476382003001
,0476382004001
,0493330000016
,0493330000017
0495598000005,0495598000005
0495598000007,0495598000007
0513232001001,0513232000001
0513232001002,0513232000002
0674086002002,0674086002001
0674086003003,0674086003001
0674086004004,0674086004001
0676588000002,0676588000002
,0774218000006
,0776556000020
0811250000006,0811250000006
0811366000009,0811366000009
0811366000010,0811366000010
,0814282002017
,0814282002018
,0817556000002
0916684000003,0916684000003
,0991534000015
,0991534000016
,0991534000017
,0991534000018
,0991534000019
0992429000013,0992429000013
0992429000014,0992429000014
0995048000036,0995048000036
0995048000037,0995048000037
0997282000030,0997282000030
,0998412000011
,1154026000001
,1231898000002
,1253742000006
1254982000007,1254982000007
1254982000008,1254982000008
1254982000009,1254982000009
,1255944000023
,1255944000024
,1255944000025
1256902000006,1256902000006
1256903501001,1256903503001
1256903501002,1256903503002
1256903501003,1256903503003
1256903501004,1256903502004
1256903501005,1256903504005
1256903501007,1256903502007
1256903501009,1256903502009
1256903501010,1256903502010
1256903501011,1256903504011
1256903501012,1256903503012
1256903501013,1256903503013
1256903501015,1256903504015
1256903501016,1256903503016
1256903501018,1256903502018
1256903501019,1256903502019
1256903501020,1256903504020
1256903501021,1256903502021
1256903501024,1256903503024
1256903501025,1256903502025
1256903501027,1256903504027
1256903501028,1256903504028
1256903501030,1256903504030
1256903501031,1256903503031
1256903501032,1256903502032
,1258306000003
1373172001001,1373172002001
,1373172003001
1393188000017,1393188000017
,1398928000004
1475208000004,1475208000004
1610300001011,1610300001011
1610300001012,1610300001012
1610300003010,1610300003010
1610300005012,1610300005012
,1612216000003
,1614746000002
1616456000011,1616456000011
1616456000012,1616456000012
1616456000013,1616456000013
1617194000001,1617194000001
1631122000012,1631122000012
,1632200000109
1632200000001,1632200005001
1632200000002,1632200005002
1632200000003,1632200005003
1632200000004,1632200004004
1632200000005,1632200004005
1632200000006,1632200004006
1632200000007,1632200004007
1632200000008,1632200004008
1632200000009,1632200004009
1632200000010,1632200004010
1632200000011,1632200004011
1632200000012,1632200004012
1632200000013,1632200004013
1632200000014,1632200004014
1632200000015,1632200004015
1632200000016,1632200004016
1632200000017,1632200004017
1632200000018,1632200004018
1632200000019,1632200004019
1632200000020,1632200004020
1632200000021,1632200004021
1632200000022,1632200004022
1632200000023,1632200004023
1632200000024,1632200004024
1632200000025,1632200004025
1632200000026,1632200004026
1632200000027,1632200004027
1632200000028,1632200004028
1632200000029,1632200004029
1632200000030,1632200004030
1632200000031,1632200004031
1632200000032,1632200004032
1632200000033,1632200004033
1632200000034,1632200004034
1632200000035,1632200004035
1632200000036,1632200004036
1632200000037,1632200004037
1632200000038,1632200004038
1632200000039,1632200004039
1632200000040,1632200004040
1632200000041,1632200004041
1632200000042,1632200004042
1632200000043,1632200004043
1632200000044,1632200004044
1632200000045,1632200004045
1632200000046,1632200004046
1632200000047,1632200004047
1632200000048,1632200004048
1632200000049,1632200004049
1632200000050,1632200004050
1632200000051,1632200004051
1632200000052,1632200004052
1632200000053,1632200004053
1632200000054,1632200004054
1632200000055,1632200004055
1632200000056,1632200004056
1632200000057,1632200004057
1632200000058,1632200004058
1632200000059,1632200004059
1632200000060,1632200004060
1632200000061,1632200003061
1632200000062,1632200003062
1632200000063,1632200003063
1632200000064,1632200003064
1632200000065,1632200003065
1632200000066,1632200003066
1632200000067,1632200003067
1632200000068,1632200003068
1632200000069,1632200003069
1632200000070,1632200003070
1632200000071,1632200003071
1632200000072,1632200003072
1632200000073,1632200003073
1632200000074,1632200003074
1632200000075,1632200003075
1632200000076,1632200004076
1632200000077,1632200003077
1632200000078,1632200003078
1632200000079,1632200003079
1632200000080,1632200003080
1632200000081,1632200003081
1632200000082,1632200003082
1632200000083,1632200003083
1632200000084,1632200003084
1632200000085,1632200003085
1632200000086,1632200003086
1632200000087,1632200003087
1632200000088,1632200003088
1632200000089,1632200003089
1632200000091,1632200003091
1632200000092,1632200003092
1632200000093,1632200003093
1632200000094,1632200003094
1632200000095,1632200003095
1632200000096,1632200003096
1632200000097,1632200003097
1632200000098,1632200005098
1632200000099,1632200005099
1632200000100,1632200003100
1632200000101,1632200003101
1632200000102,1632200003102
1632200000103,1632200004103
1632200000104,1632200004104
1632200000105,1632200004105
1632200000106,1632200004106
1632200000107,1632200003107
1632200000108,1632200003108
1632200000110,1632200004110
1632200000111,1632200004111
1632200000112,1632200004112
1632200000113,1632200004113
1632200000114,1632200004114
1632200000115,1632200005115
1632200000116,1632200005116
1632200000117,1632200005117
1632200000118,1632200005118
1632200000119,1632200005119
1632200000120,1632200005120
1632200000121,1632200005121
1632200000122,1632200005122
1632200000123,1632200005123
1632200000124,1632200005124
1632200000125,1632200005125
1632200000126,1632200005126
1632200000127,1632200005127
1632200000128,1632200005128
1632200000129,1632200005129
1632200000130,1632200005130
1632200000131,1632200005131
1632200000132,1632200005132
1632200000133,1632200005133
1632200000134,1632200005134
1632200000135,1632200005135
1632200000136,1632200005136
1632200000137,1632200005137
1632200000138,1632200005138
1632200000139,1632200005139
1632200000140,1632200005140
1632200000141,1632200005141
1632200000142,1632200005142
1632200000143,1632200006143
1632200000144,1632200006144
1632200000145,1632200006145
1632200000146,1632200006146
1632200000147,1632200006147
1632200000149,1632200006149
1632200000150,1632200006150
1632200000151,1632200006151
1632200000152,1632200005152
1632200000153,1632200006153
1632200000154,1632200006154
1632200000155,1632200005155
1632200000156,1632200005156
1632200000157,1632200006157
1632200000158,1632200005158
1632200000159,1632200005159
1632200000160,1632200005160
1632200000161,1632200005161
1632200000162,1632200005162
1632200000163,1632200005163
1632200000164,1632200005164
1632200000165,1632200005165
1632200000166,1632200005166
1632200000167,1632200005167
1632200000168,1632200005168
1632200000169,1632200005169
1632200000170,1632200005170
1632200000171,1632200005171
1632200000172,1632200003172
1632200000173,1632200003173
1632200000174,1632200003174
1632200000175,1632200003175
1632200000176,1632200003176
1632200000177,1632200003177
1632200000178,1632200003178
1632200000179,1632200003179
1632200000180,1632200003180
1632200000181,1632200003181
1632200000182,1632200003182
1632200000183,1632200003183
1632200000184,1632200003184
1632200000185,1632200003185
1632200000186,1632200003186
1632200000187,1632200003187
1632200000188,1632200003188
1632200000189,1632200003189
1632200000190,1632200003190
1632200000191,1632200003191
1632200000192,1632200003192
1632200000193,1632200003193
1632200000194,1632200003194
1632200000195,1632200003195
1632200000196,1632200003196
1632200000197,1632200003197
1632200000198,1632200002198
1632200000199,1632200002199
1632200000200,1632200002200
1632200000201,1632200002201
1632200000202,1632200002202
1632200000203,1632200002203
1632200000204,1632200002204
1632200000205,1632200002205
1632200000206,1632200002206
1632200000207,1632200002207
1632200000208,1632200002208
1632200000209,1632200002209
1632200000210,1632200002210
1632200000211,1632200002211
1632200000212,1632200002212
1632200000213,1632200002213
1632200000214,1632200002214
1632200000215,1632200002215
1632200000216,1632200002216
1632200000217,1632200002217
1632200000218,1632200005218
1632200000219,1632200002219
1632200000220,1632200005220
1632200000221,1632200002221
1632200000222,1632200002222
