standardized_id_num,count
0492902000002,5951
1610300003022,5662
1634780000005,5655
1634780000003,5590
0997076000008,5405
0492902000003,5379
0997076000010,5345
0991652000001,5344
1610300002014,5302
0991534000009,5297
0492900001001,5234
0735602000002,5233
1618916000008,5199
0991652000019,5191
1634780000007,5143
0997076000009,5143
0053572000001,5140
1215632002004,5122
1634780000001,5112
1638600000016,5099
0997076000011,5078
0493330000007,5016
0735602000001,5014
1634004000003,4995
1215914000001,4993
1618916000010,4992
0991652000014,4990
1610300003023,4970
1035190000004,4956
1636762500006,4924
1618916000011,4920
0998412000006,4917
0492902000008,4887
0995048000001,4851
0995048000005,4840
0738134000001,4821
0991652000013,4813
0991534000003,4786
0995048000015,4783
0991652000016,4773
1618916000009,4761
1616456000007,4741
1638600000005,4706
1633542000001,4693
1257004000001,4679
1638890000003,4672
0933954000001,4666
0816466000003,4657
0997646000014,4655
1634780000011,4653
0997076000007,4645
0991652000009,4628
1638890000004,4625
0493330000004,4614
0997076000003,4585
1638600000004,4571
0211734000001,4565
1638042000003,4556
1451046000002,4555
1176812000001,4553
1638600000017,4551
1634780000009,4540
0991652000020,4536
1618916000006,4530
0997646000021,4524
0492902000001,4516
0995048000014,4505
1616456000006,4497
1610300001002,4482
0492900002006,4463
0991652000018,4461
1638890000002,4452
0991652000006,4452
0738134000002,4438
0492900005014,4434
0993682000004,4416
1636762500009,4410
1257004000009,4410
0776556000003,4407
1617114000002,4399
0991652000017,4398
0991534000004,4390
1618916000004,4386
0997646000040,4380
1638042000002,4378
1638600000028,4376
0654600002018,4350
1610302000001,4347
0217010000001,4336
0991652000002,4329
1638042000004,4325
0257570000001,4310
0492900005015,4309
1618916000007,4292
0754142005008,4287
0872316000001,4285
0492900001002,4283
1035190000001,4276
1618916000005,4273
0995048000003,4254
1257004000012,4252
1215634000001,4243
0050126000001,4239
0493330000003,4236
0776556000005,4232
0492776000002,4224
1453020000001,4220
0991652000005,4207
0995048000008,4206
0998154000001,4190
1614912000001,4185
1215914000004,4174
0452152000016,4147
0991652000011,4144
0372212000001,4144
1616456000002,4136
0997076000001,4131
1152632000001,4129
1618914002001,4118
1618910000002,4114
0492776000003,4103
1616456000003,4102
0754142001001,4101
1390894000002,4098
1215634000003,4096
1035190000003,4088
1215634000002,4080
1214516000001,4080
0492900007021,4079
1638600000003,4072
0873584000001,4071
0995048000002,4059
0735602000003,4058
0997076000006,4054
0997076000012,4052
1035686000001,4046
0050128000001,4045
1256544006014,4040
1610300001009,4028
0817544000002,4015
1257004000004,4004
0452152000006,3996
1638890000001,3990
0492900004012,3984
0991652000015,3974
0493330000001,3971
1211966000003,3964
1618916000003,3954
0670968000001,3953
0174236000001,3951
0654600004036,3950
0993682000001,3946
0995048000009,3934
0654600002020,3932
1610300005042,3932
0655218000002,3928
0991534000010,3927
1618914003002,3924
0776556000008,3924
0337174000001,3910
0813402000001,3905
1250766000001,3897
1215632001002,3894
1636762500003,3889
0818114000001,3886
0493330000008,3884
0492900006017,3883
0875142000001,3877
1638600000001,3876
1115378003006,3868
0771798000003,3868
0995048000004,3867
1250766000002,3860
0991534000001,3859
0998412000001,3850
0917912001001,3844
1551252000001,3842
1634004000004,3838
1638600000007,3834
1617194000003,3828
0998412000004,3811
1255992000008,3807
0776556000004,3798
0654600001008,3795
1471618000001,3792
0492900008023,3790
1035192000001,3788
0995048000019,3780
1638600000010,3779
0654600001005,3774
0813402000004,3764
0492900008024,3759
1215632004008,3757
1450856000001,3745
1638600000011,3739
0993682000005,3731
0997076000002,3730
0991652000007,3729
1115378004008,3723
0993682000003,3721
1436820000001,3715
1497976000002,3707
1638890000005,3700
1638600000006,3698
1252788000006,3674
1115378005010,3672
0776556000010,3667
0993682000002,3664
1617194000005,3664
0451482001001,3660
0776556000013,3660
0933956000002,3653
0175498000003,3648
0995048000013,3646
0492900004011,3646
1255992000006,3645
1636888000003,3638
0991652000012,3628
1610300004039,3621
1575424000001,3619
0917912001002,3619
0991534000005,3616
0932122000001,3615
1250766000003,3614
0991652000010,3608
0774216000005,3601
1256544003008,3593
1391802000001,3593
1115378005009,3590
1457910000001,3590
1256544006013,3589
0814282002014,3589
0236666000001,3587
0095064000001,3584
0813400001008,3583
0654600004032,3583
1396246000001,3582
1115378002004,3578
1257004000003,3575
0493328000001,3573
1614746000001,3569
0991534000007,3559
1475160000001,3556
1215632001001,3556
0451482002001,3554
0654600003028,3544
1115378002003,3544
0494782000001,3543
0492900006016,3533
1617114000001,3532
0654600004034,3530
1115378001002,3526
0454600003022,3525
1630702000001,3521
0674088000001,3506
0994690000003,3505
0991534000006,3499
1216952000001,3496
1638600000014,3493
0874604000002,3493
1115378003005,3488
0190164000001,3483
0492900009028,3483
1115378004007,3481
0456070000001,3470
0991534000002,3469
0874604000001,3465
1396246000003,3463
0998412000005,3458
1393866000007,3454
0452456000001,3453
1636762500004,3449
0991652000003,3447
0933954000002,3442
0654600002013,3438
1115378001001,3435
1393866000009,3435
0995048000018,3433
1451156000002,3432
0813400002036,3430
1475638000001,3428
0254706000001,3428
1095304000001,3422
0654600002012,3421
0290982000016,3421
1571342000001,3413
1231106000001,3411
0817544000001,3410
0337174000002,3407
0676588000001,3406
1252788000003,3405
0493330000009,3399
0452452000001,3399
1215864000001,3391
0776556000001,3391
0918864000001,3390
1471618000005,3387
1472382000001,3387
1637736000002,3379
0057172000001,3379
1632200006477,3375
0250592005011,3375
0998412000007,3373
1212508000003,3370
1636942000002,3370
0175498000002,3366
1255992000005,3365
0654600001001,3363
1390136000003,3361
0654600003030,3354
0777188000003,3353
0991432000003,3341
0134556000001,3332
1256544004009,3323
1477070000001,3316
0811224000003,3316
1494906000001,3310
1558840000001,3304
1255992000001,3304
1638600000002,3303
1070832000001,3299
1633142000008,3296
1637900000007,3294
1518876000001,3293
1390136000004,3288
1610300005043,3287
1255056000005,3277
0274414000001,3267
1498694000001,3260
1617194000002,3257
1638600000012,3256
0215778000003,3252
0870168000002,3250
0250672000003,3249
0056162000001,3248
1615392000001W,3241
0997646000009,3238
1617780000001,3235
1258424000007,3233
0657658000001,3230
1212508000002,3223
0931064000004,3218
0816466000007,3217
0813124000007,3217
1258424000015,3214
1616456000004,3214
1472976000004,3212
0997646000011,3206
1252744000010,3205
0997646000043,3202
0173018000001,3195
1250911000016,3194
1618916000001,3190
1390136000001,3190
0412636000003,3190
1638600000013,3186
1396246000005,3186
1457052000015,3185
1258424000005,3176
0811224000002,3175
0170602004001,3174
1258424000017,3174
1258424000013,3173
1257004000018,3172
0654600004035,3172
0658742000001,3171
0337174000003,3170
1034124000001,3168
0995582000003,3168
0933956000001,3168
0995582000006,3163
0654600004038,3163
0998400002019,3157
0154112000001,3157
1457054000012,3155
0757720000007,3152
1636888000001,3151
0470638000002,3151
1231898000001,3150
0492900003010,3149
0554924000003,3149
0497946000002,3146
0658222000001,3143
1632836000003,3141
1277286000001,3141
0170602003001,3140
1258424000002,3139
0652142000005,3137
0933704000003,3137
0357758000001,3134
0812398001001,3134
1578186000001,3133
1258424000021,3132
0931062000003,3130
1451156000003,3130
0493328000002,3121
0276090000001,3119
1638600000009,3119
1618916000002,3118
1255992000010,3116
0933610000007,3114
1636888000002,3114
1155502000001,3114
0754698000002,3113
0493330000010,3113
1631312000024,3112
1155502000005,3110
1258424000020,3107
0311500000002,3106
0275446000001,3105
0933610000001,3105
0997646000035,3104
0814282002015,3104
0812398003003,3103
0998400001001,3102
0997646000010,3101
0998400003027,3101
0231704000001,3097
1610300004033,3097
0493180000006,3095
1256204000007,3095
1258424000003,3095
0654600002016,3094
0813124000005,3092
0652142000001,3091
0170602005001,3090
0211142000001,3089
0997282000014,3085
1610300004038,3082
1394152000001,3081
1615828000001,3080
0996980000009,3080
0997646000042,3078
1632200003068,3076
1155502000004,3074
0997646000004,3074
0053864005011,3071
1258686000006,3070
1471840000001,3069
1211410000001,3069
1610300001001,3066
1636942000008,3065
1176404000001,3065
1514730000001,3064
1390136000002,3064
0875809000001,3063
1251764000013,3063
0754142002003,3062
1257004000013,3062
0654600001004,3061
1617756000004,3060
0255194000001,3059
1651232000001,3057
0170602009001,3057
1631312000030,3056
1631312000029,3056
0814282002011,3055
0378232000001,3053
1258424000011,3053
1175514000001,3050
1258424000012,3050
0811224000001,3049
0777930000004,3048
0813400002044,3045
1376168000001,3044
1393188000001,3042
0811250000005,3040
1638600000008,3039
0997646000002,3039
0813402000006,3038
0933186000003,3034
1631312000028,3033
0676586000001,3030
1637900000001,3030
0577100000001,3029
1610300004035,3025
1617756000005,3024
0058490000001,3023
