Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num,,Michigan County Code,City/Township Code,Ward Number,Precinct Number,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num
82,57,1,262,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,263,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,264,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,265,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,266,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,267,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,268,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,269,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,270,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,271,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,272,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,273,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,274,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,275,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,276,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,277,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,278,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,279,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,280,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,281,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,282,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,283,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,284,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,285,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,286,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,287,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,297,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,298,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,299,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,300,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,301,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,302,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,303,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,304,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,305,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,306,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,307,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,308,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,309,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,310,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,311,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,312,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,315,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,316,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,317,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,318,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,319,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,320,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,321,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,322,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,323,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,324,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,325,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,326,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,327,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,328,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,329,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,350,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,351,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,352,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,353,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,354,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,357,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,358,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,359,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,360,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,361,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,362,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,378,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,379,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,490,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,495,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,1,501,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,198,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,199,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,200,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,201,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,202,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,203,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,204,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,205,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,206,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,207,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,208,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,209,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,210,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,211,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,212,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,213,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,214,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,215,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,216,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,217,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,219,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,221,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,222,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,223,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,224,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,225,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,226,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,227,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,228,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,229,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,230,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,231,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,232,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,233,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,234,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,235,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,236,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,237,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,238,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,239,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,240,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,241,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,242,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,243,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,244,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,245,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,246,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,247,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,248,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,249,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,250,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,255,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,256,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,257,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,258,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,259,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,260,,6,1400,14TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,288,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,289,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,290,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,291,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
82,57,2,292,,6,1300,13TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION FILES IN WAYNE COUNTY,WAYNE,DETROIT CITY,1.6322E+12,,,,,,,,,,,
