Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num,,Michigan County Code,City/Township Code,Ward Number,Precinct Number,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num
13,54,5,11,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592005011,,,,,,,,,,,
13,54,5,20,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592005020,,,,,,,,,,,
19,53,0,1,,6,400,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CLINTON,OVID CITY,0376186000001,,,,,,,,,,,
22,52,1,3,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,DICKINSON,IRON MOUNTAIN CITY,0434096001003,,,,,,,,,,,
22,52,2,2,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,DICKINSON,IRON MOUNTAIN CITY,0434096002002,,,,,,,,,,,
22,52,3,2,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,DICKINSON,IRON MOUNTAIN CITY,0434096003002,,,,,,,,,,,
23,58,3,22,,6,700,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,LANSING CITY,0454600003022,,,,,,,,,,,
23,58,3,23,,6,700,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,LANSING CITY,0454600003023,,,,,,,,,,,
24,54,1,1,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,PETOSKEY CITY,0476382001001,,,,,,,,,,,
24,54,2,1,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,PETOSKEY CITY,0476382002001,,,,,,,,,,,
24,54,3,1,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,PETOSKEY CITY,0476382003001,,,,,,,,,,,
